pwndbg> vmmap
LEGEND: STACK | HEAP | CODE | DATA | WX | RODATA
             Start                End Perm     Size Offset File
    0x7fffa6fff000     0x7fffa77ff000 rw-p   800000      0 [anon_7fffa6fff]
    0x7fffa77ff000     0x7fffa7800000 ---p     1000      0 [anon_7fffa77ff]
    0x7fffa7800000     0x7fffa8000000 rw-p   800000      0 [anon_7fffa7800]
    0x7fffa8000000     0x7fffa8021000 rw-p    21000      0 [anon_7fffa8000]
    0x7fffa8021000     0x7fffac000000 ---p  3fdf000      0 [anon_7fffa8021]
    0x7fffac000000     0x7fffac021000 rw-p    21000      0 [anon_7fffac000]
    0x7fffac021000     0x7fffb0000000 ---p  3fdf000      0 [anon_7fffac021]
    0x7fffb0000000     0x7fffb0021000 rw-p    21000      0 [anon_7fffb0000]
    0x7fffb0021000     0x7fffb4000000 ---p  3fdf000      0 [anon_7fffb0021]
    0x7fffb47f9000     0x7fffb47fa000 ---p     1000      0 [anon_7fffb47f9]
    0x7fffb47fa000     0x7fffb4ffa000 rw-p   800000      0 [anon_7fffb47fa]
    0x7fffb4ffa000     0x7fffb4ffb000 ---p     1000      0 [anon_7fffb4ffa]
    0x7fffb4ffb000     0x7fffb57fb000 rw-p   800000      0 [anon_7fffb4ffb]
    0x7fffb57fb000     0x7fffb57fc000 ---p     1000      0 [anon_7fffb57fb]
    0x7fffb57fc000     0x7fffb5ffc000 rw-p   800000      0 [anon_7fffb57fc]
    0x7fffb5ffc000     0x7fffb5ffd000 ---p     1000      0 [anon_7fffb5ffc]
    0x7fffb5ffd000     0x7fffb67fd000 rw-p   800000      0 [anon_7fffb5ffd]
    0x7fffb67fd000     0x7fffb67fe000 ---p     1000      0 [anon_7fffb67fd]
    0x7fffb67fe000     0x7fffb6ffe000 rw-p   800000      0 [anon_7fffb67fe]
    0x7fffb6ffe000     0x7fffb6fff000 ---p     1000      0 [anon_7fffb6ffe]
    0x7fffb6fff000     0x7fffb77ff000 rw-p   800000      0 [anon_7fffb6fff]
    0x7fffb77ff000     0x7fffb7800000 ---p     1000      0 [anon_7fffb77ff]
    0x7fffb7800000     0x7fffb8000000 rw-p   800000      0 [anon_7fffb7800]
    0x7fffb8000000     0x7fffb8021000 rw-p    21000      0 [anon_7fffb8000]
    0x7fffb8021000     0x7fffbc000000 ---p  3fdf000      0 [anon_7fffb8021]
    0x7fffbc000000     0x7fffbc021000 rw-p    21000      0 [anon_7fffbc000]
    0x7fffbc021000     0x7fffc0000000 ---p  3fdf000      0 [anon_7fffbc021]
    0x7fffc07f9000     0x7fffc07fa000 ---p     1000      0 [anon_7fffc07f9]
    0x7fffc07fa000     0x7fffc0ffa000 rw-p   800000      0 [anon_7fffc07fa]
    0x7fffc0ffa000     0x7fffc0ffb000 ---p     1000      0 [anon_7fffc0ffa]
    0x7fffc0ffb000     0x7fffc17fb000 rw-p   800000      0 [anon_7fffc0ffb]
    0x7fffc17fb000     0x7fffc17fc000 ---p     1000      0 [anon_7fffc17fb]
    0x7fffc17fc000     0x7fffc1ffc000 rw-p   800000      0 [anon_7fffc17fc]
    0x7fffc1ffc000     0x7fffc1ffd000 ---p     1000      0 [anon_7fffc1ffc]
    0x7fffc1ffd000     0x7fffc27fd000 rw-p   800000      0 [anon_7fffc1ffd]
    0x7fffc27fd000     0x7fffc27fe000 ---p     1000      0 [anon_7fffc27fd]
    0x7fffc27fe000     0x7fffc2ffe000 rw-p   800000      0 [anon_7fffc27fe]
    0x7fffc2ffe000     0x7fffc2fff000 ---p     1000      0 [anon_7fffc2ffe]
    0x7fffc2fff000     0x7fffc37ff000 rw-p   800000      0 [anon_7fffc2fff]
    0x7fffc37ff000     0x7fffc3800000 ---p     1000      0 [anon_7fffc37ff]
    0x7fffc3800000     0x7fffc4000000 rw-p   800000      0 [anon_7fffc3800]
    0x7fffc4000000     0x7fffc4021000 rw-p    21000      0 [anon_7fffc4000]
    0x7fffc4021000     0x7fffc8000000 ---p  3fdf000      0 [anon_7fffc4021]
    0x7fffc87f9000     0x7fffc87fa000 ---p     1000      0 [anon_7fffc87f9]
    0x7fffc87fa000     0x7fffc8ffa000 rw-p   800000      0 [anon_7fffc87fa]
    0x7fffc8ffa000     0x7fffc8ffb000 ---p     1000      0 [anon_7fffc8ffa]
    0x7fffc8ffb000     0x7fffc97fb000 rw-p   800000      0 [anon_7fffc8ffb]
    0x7fffc97fb000     0x7fffc97fc000 ---p     1000      0 [anon_7fffc97fb]
    0x7fffc97fc000     0x7fffc9ffc000 rw-p   800000      0 [anon_7fffc97fc]
    0x7fffc9ffc000     0x7fffc9ffd000 ---p     1000      0 [anon_7fffc9ffc]
    0x7fffc9ffd000     0x7fffca7fd000 rw-p   800000      0 [anon_7fffc9ffd]
    0x7fffca7fd000     0x7fffca7fe000 ---p     1000      0 [anon_7fffca7fd]
    0x7fffca7fe000     0x7fffcaffe000 rw-p   800000      0 [anon_7fffca7fe]
    0x7fffcaffe000     0x7fffcafff000 ---p     1000      0 [anon_7fffcaffe]
    0x7fffcafff000     0x7fffcb7ff000 rw-p   800000      0 [anon_7fffcafff]
    0x7fffcb7ff000     0x7fffcb800000 ---p     1000      0 [anon_7fffcb7ff]
    0x7fffcb800000     0x7fffcc000000 rw-p   800000      0 [anon_7fffcb800]
    0x7fffcc000000     0x7fffcc021000 rw-p    21000      0 [anon_7fffcc000]
    0x7fffcc021000     0x7fffd0000000 ---p  3fdf000      0 [anon_7fffcc021]
    0x7fffd0000000     0x7fffd0021000 rw-p    21000      0 [anon_7fffd0000]
    0x7fffd0021000     0x7fffd4000000 ---p  3fdf000      0 [anon_7fffd0021]
    0x7fffd4000000     0x7fffd4021000 rw-p    21000      0 [anon_7fffd4000]
    0x7fffd4021000     0x7fffd8000000 ---p  3fdf000      0 [anon_7fffd4021]
    0x7fffd87f9000     0x7fffd87fa000 ---p     1000      0 [anon_7fffd87f9]
    0x7fffd87fa000     0x7fffd8ffa000 rw-p   800000      0 [anon_7fffd87fa]
    0x7fffd8ffa000     0x7fffd8ffb000 ---p     1000      0 [anon_7fffd8ffa]
